author,date,description,tags,title
Zac Hatfield Dodds,July 2021,"We often think of manual testing as slower and less effective than automated testing, but most test suites haven't automated that much! Computers can execute all our pre-defined tests very quickly - and this is definitely a good thing, especially for regression tests - but the tricky parts are still done by humans. We select test cases (inputs) and check that the corresponding outputs make sense; we write functions that ""arrange, act, and assert"" for our tests; and we decide - or script via CI systems - which tests to execute and when. So lets explore some next-generation tools that we could use to automate these remaining parts of a testing workflow!","Best Practice,TDD,Test Libraries (pytest/nose/...),Testing,Tooling",Stop Writing Tests!
María Andrea Vignau,July 2021,"Outline,Introduction: advantages, best and worst use cases.,Why this little database is amazing and where it can be used at its best.,SQLite & Python: best practices,Use of context managers, row factories, executing many operations at once and the concept of PRAGMAs,Transactions, isolation and concurrency,Transactions management in SQLite, use of WAL, Rollback and no journaling modes. Isolation levels: exclusive, immediate and deferred,Indexing,Why and why not indexing. Partial index, expression index, FTS index.,Special data types,Date & Time data, personalized data types","Algorithms,Best Practice,Databases,Python general","SQLite, an (un) known super ant"
Marc Päpper,July 2021,"An important, but often overlooked aspect of developing a high-quality deep learning model is the iteration speed.,If you can iterate faster, you can try out more ideas and over time you get better results.,In this talk, you will learn about the different tricks you can use to train a great machine learning model in a shorter amount of time.,In particular, I will discuss how we optimized our deep learning development life cycle at Mindpeak to create robust deep learning models for cancer diagnostics that work in vastly different laboratory settings.","Computer Vision,Deep Learning,Development,GPU,Machine-Learning",Speeding up the deep learning development life cycle for cancer diagnostics
Jon Nordby,July 2021,"Sound Events (or Audio Events or Acoustic Events) are individual distinct sounds.,This could be the pop of roasting popcorn kernels,,the cough of a patient, a car that is passing by on a road,,or the sound of an alarm in an office building.,Sound Event Detection (SED) is the task of detecting such sounds,,returning precise times that each kind (class) of sound occurs.,It finds uses in music analysis, manufacturing, medicine and noise monitoring.","Data,Data Science,Machine-Learning,Sensors",Sound Event Detection with Machine Learning
Sam Thursfield,July 2021,Can simple open source tools compete with the music recommendations provided by Spotify and other big names?,Algorithms,"Simple, open, music recommendations"
Alon Nir,July 2021,"What would the world look like if Russia won the cold war? If the Boston Tea Party never happened? And where would we be if Guido van Rossum had decided to go to music school? Unfortunately we don't have the technology to slide into parallel worlds and explore alternative histories. However it turns out we *do* have the tools to simulate parallel realities and give decent answers to intriguing 'what if' questions. This talk will provide a gentle introduction to these tools, professionally known as Causal Inference.","Data Science,Predictions,Science,The Answer to Life the Universe and Everything Else,Tooling","Sliding into Causal Inference, with Python!"
Miroslav Šedivý,July 2021,"Migration to Python 3 is over, but that's not the end of the journey. Although your code runs with the currently supported Python 3.6 to 3.9, there may be some pieces of code that look obvious to you, but may surprise younger developers who have never seen Python 2 code.","Clean Code,Development,New Features,Python 2,Python 3",Should We Return to Python 2?
Irina Grechikhina,July 2021,"Sentry is an open-source error tracking software. It allows you to know exactly what's going on with your web application in real-time and get detailed reports about occurred errors. Lot's of web developers used to rely only on app logs and generic monitoring software, but it's not enough. Multiple production servers, overwhelmed logging, lack of information about request content in case of error hinders problem investigation and produces permanent developer fear of changes. Sentry could ease the whole process and make you: stay calm during deployment, be sure your application works properly, solve problems before users report about it.","Debugging,Development,HTTP,Web",Sentry as a way not to be afraid
Lim H.,July 2021,"Data scientists, data engineers and machine-learning engineers often have to team together to create data science code that scales. Data scientists typically prefer rapid iteration, which can cause friction if their engineering colleagues prefer observability and reliability. ","Data,Data Science,Development",Reproducible and Deployable Data Science with Open-Source Python
Sebastian Buczyński,July 2021,"Every year we can hear rumours about the demise of Object-Oriented Programming. As usual, they are greatly exaggerated. In 2021 OOP still has a lot to offer. The problem is a shortage of good quality materials that would show where it shines and how a Pythonista can leverage it without writing code that looks like Java from the 00s.","Clean Code,TDD,legacy-code",Refactoring legacy Django app using OOP
Sebastian Witowski,July 2021,"Managing Python versions and dependencies can be painful. JavaScript developers have their ""node_modules"" folders, but we don't have ""python_modules"" (yet!) in Python. Instead, we have those mysterious virtual environments. And if you also want to switch between different Python versions, it can quickly turn into a mess.","Development,Tooling,Virtual Env",Python Versions and Dependencies Made Easy
Michał Wodyński,July 2021,"Have you ever have a feeling that you are able to write code that solves problem but your not sure whether is safe? How much of your time you spend on investigating whether your code is not vulnerable ? Do you know what kind of risks you can face during parsing XML files? If those questions appeared into your mind this presentation will clarify your doubts and bring your skills closer to writing more safe code. There are many repeatable routines during developing code like: saving user data, reading files or pickles. Those routines can lead to a drop in vigilance which may lead to very terrible consequences for our application or data.","Best Practice,Programming,Python 3,Security,Tooling",Python security best practises
Or Weis,July 2021,"Modern distributed software doesn't stop at your VPC. Edge deployed software needs realtime communications, updates, and state sync. It needs RPC and PubSub over the web. Lets make it open-source.","APIs,ASYNC / Concurreny,Communication,Distributed Systems,Web Servers and MicroFWs (Flask/Tornado/Nginx/...)",Python RPC and PubSub over Websockets
Benjy Weinberger,July 2021,"As organizations and repos grow, we have to choose how to manage codebases in a scalable way. We have two architectural alternatives:","Architecture,Best Practice,Clean Code,Development,Engineering","Python monorepos: what, why and how"
"Sid Unnithan,Claudia Regio",July 2021,Learn how Native Notebooks in VS Code can supercharge your data science workflow and how to follow up your deployment of machine learning models using the Azure Machine Learning service!,"Data Science,Machine-Learning,python",Python Data Science with VS Code and Azure
Vinicius Gubiani Ferreira,July 2021,Most people heard at least once or focused really hard on studying design patterns. But did you know there are also lots of anti-patterns we should try to avoid?,"Best Practice,Clean Code,Python general,Software Design,python",Python Anti-Patterns
Rodrigo Girão Serrão,July 2021,"EDIT: Talk slides available at ,; you can reach out to me with comments/questions on Twitter @mathsppblog or through email at rodrigo at mathspp dot com.","Abstractions,Best Practice,Clean Code,Python Skills,Python general",Pydon'ts
Utkarsh Mishra,July 2021,"A photo is an image that represents an external form of a person or a thing from the past. It communicates any past incident or activity to the present or future, reminding them of the melodious memories they have.","APIs,Computer Vision,Deep Learning,Image Processing,Machine-Learning",Python and Flutter application for Colouring and Enhancing Old Photos
James Nightingale,July 2021,"A major trend in data science is the rapid adoption of Bayesian statistics for data analysis and modeling. With modern data-sets growing by orders of magnitude in size, the focus is now on developing methods capable of applying contemporary inference techniques to extremely large datasets. To this aim, I present PyAutoFit (,), an open-source probabilistic programming language for automated Bayesian inference that was recently published in the Journal of Open Source Software (,).","Big Data,Data Science,Open-Source,Science",PyAutoFit: A Classy Probabilistic Programming Language For Data Science
Oliver Cobb,July 2021,"Deployed machine learning models can fail spectacularly in response to seemingly benign changes to the underlying process being modelled. Concerningly, when labels are not available, as is often the case in deployment settings, this failure can occur silently and go unnoticed.","Beginners,Data Science,Deep Learning,Machine-Learning,failures/mistakes",Protecting Your Machine Learning Against Drift: An Introduction
Alejandro Saucedo,July 2021,# Session Description,"Best Practice,Data Science,DevOps general,Machine-Learning,Scientific Libraries (Numpy/Pandas/SciKit/...)","Production ML Monitoring: Outliers, Drift, Explainers & Statistical Performance"
Sylvain Marié,July 2021,"`pytest` is undoubtedly the most popular test framework for python. Its fixture and parametrization mechanisms, as well as its detailed hook API and vibrant plugin ecosystem make it a must-know for any developer wishing to create quality software. Some key limitations in its engine and API, however, prevent users from truly unleashing their testing scenarii. Creating tests with complex parametrization is complicated, and users trying to explore this direction may loose the legendary elegance and maintainability of pytest tests on the way.","Data,Data Science,Science,Test Libraries (pytest/nose/...),Testing",Powerful tests and reproducible benchmarks with `pytest-cases`
Eli Holderness,July 2021,"Ever wondered about the difference between `is` and `==`, or why you might need to use `deepcopy`? Maybe you’ve been stumped by an interview question about object lifetimes, or overriding the `__eq__` method. Or, perhaps, you just really want to see some tuples behaving badly. ","Abstractions,Beginners,CPython,Compiler and Interpreters,Python general",Pointers? In my Python? It's more likely than you think
